program_name_and_version,EnergyPlus 22.2
Annual Hourly Integrated Peak Heating Loads 600_kW,3.20413
Annual Hourly Integrated Peak Heating Loads 600_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 600_Day,31
Annual Hourly Integrated Peak Heating Loads 600_Hour,24
Annual Hourly Integrated Peak Heating Loads 610_kW,3.19152
Annual Hourly Integrated Peak Heating Loads 610_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 610_Day,31
Annual Hourly Integrated Peak Heating Loads 610_Hour,24
Annual Hourly Integrated Peak Heating Loads 620_kW,3.2293
Annual Hourly Integrated Peak Heating Loads 620_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 620_Day,31
Annual Hourly Integrated Peak Heating Loads 620_Hour,24
Annual Hourly Integrated Peak Heating Loads 630_kW,3.20674
Annual Hourly Integrated Peak Heating Loads 630_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 630_Day,31
Annual Hourly Integrated Peak Heating Loads 630_Hour,24
Annual Hourly Integrated Peak Heating Loads 640_kW,4.55852
Annual Hourly Integrated Peak Heating Loads 640_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 640_Day,8
Annual Hourly Integrated Peak Heating Loads 640_Hour,8
Annual Hourly Integrated Peak Heating Loads 650_kW,0
Annual Hourly Integrated Peak Heating Loads 650_Month*,JAN
Annual Hourly Integrated Peak Heating Loads 650_Day,1
Annual Hourly Integrated Peak Heating Loads 650_Hour,1
Annual Hourly Integrated Peak Heating Loads 660_kW,2.83094
Annual Hourly Integrated Peak Heating Loads 660_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 660_Day,31
Annual Hourly Integrated Peak Heating Loads 660_Hour,24
Annual Hourly Integrated Peak Heating Loads 670_kW,3.85351
Annual Hourly Integrated Peak Heating Loads 670_Month*,NOV
Annual Hourly Integrated Peak Heating Loads 670_Day,26
Annual Hourly Integrated Peak Heating Loads 670_Hour,7
Annual Hourly Integrated Peak Heating Loads 680_kW,2.0524
Annual Hourly Integrated Peak Heating Loads 680_Month*,NOV
Annual Hourly Integrated Peak Heating Loads 680_Day,26
Annual Hourly Integrated Peak Heating Loads 680_Hour,7
Annual Hourly Integrated Peak Heating Loads 685_kW,3.22293
Annual Hourly Integrated Peak Heating Loads 685_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 685_Day,31
Annual Hourly Integrated Peak Heating Loads 685_Hour,24
Annual Hourly Integrated Peak Heating Loads 695_kW,2.0715
Annual Hourly Integrated Peak Heating Loads 695_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 695_Day,31
Annual Hourly Integrated Peak Heating Loads 695_Hour,24
Annual Hourly Integrated Peak Heating Loads 900_kW,2.68748
Annual Hourly Integrated Peak Heating Loads 900_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 900_Day,9
Annual Hourly Integrated Peak Heating Loads 900_Hour,6
Annual Hourly Integrated Peak Heating Loads 910_kW,2.69892
Annual Hourly Integrated Peak Heating Loads 910_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 910_Day,9
Annual Hourly Integrated Peak Heating Loads 910_Hour,6
Annual Hourly Integrated Peak Heating Loads 920_kW,2.77041
Annual Hourly Integrated Peak Heating Loads 920_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 920_Day,9
Annual Hourly Integrated Peak Heating Loads 920_Hour,6
Annual Hourly Integrated Peak Heating Loads 930_kW,2.78517
Annual Hourly Integrated Peak Heating Loads 930_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 930_Day,9
Annual Hourly Integrated Peak Heating Loads 930_Hour,6
Annual Hourly Integrated Peak Heating Loads 940_kW,3.1407
Annual Hourly Integrated Peak Heating Loads 940_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 940_Day,9
Annual Hourly Integrated Peak Heating Loads 940_Hour,8
Annual Hourly Integrated Peak Heating Loads 950_kW,0
Annual Hourly Integrated Peak Heating Loads 950_Month*,JAN
Annual Hourly Integrated Peak Heating Loads 950_Day,1
Annual Hourly Integrated Peak Heating Loads 950_Hour,1
Annual Hourly Integrated Peak Heating Loads 960_kW,2.26286
Annual Hourly Integrated Peak Heating Loads 960_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 960_Day,9
Annual Hourly Integrated Peak Heating Loads 960_Hour,6
Annual Hourly Integrated Peak Heating Loads 980_kW,1.53073
Annual Hourly Integrated Peak Heating Loads 980_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 980_Day,9
Annual Hourly Integrated Peak Heating Loads 980_Hour,6
Annual Hourly Integrated Peak Heating Loads 985_kW,2.69544
Annual Hourly Integrated Peak Heating Loads 985_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 985_Day,9
Annual Hourly Integrated Peak Heating Loads 985_Hour,6
Annual Hourly Integrated Peak Heating Loads 995_kW,1.61628
Annual Hourly Integrated Peak Heating Loads 995_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 995_Day,9
Annual Hourly Integrated Peak Heating Loads 995_Hour,6
Annual Hourly Integrated Peak Heating Loads 195_kW,1.79558
Annual Hourly Integrated Peak Heating Loads 195_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 195_Day,31
Annual Hourly Integrated Peak Heating Loads 195_Hour,24
Annual Hourly Integrated Peak Heating Loads 200_kW,2.34266
Annual Hourly Integrated Peak Heating Loads 200_Month*,NOV
Annual Hourly Integrated Peak Heating Loads 200_Day,26
Annual Hourly Integrated Peak Heating Loads 200_Hour,8
Annual Hourly Integrated Peak Heating Loads 210_kW,2.56442
Annual Hourly Integrated Peak Heating Loads 210_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 210_Day,31
Annual Hourly Integrated Peak Heating Loads 210_Hour,24
Annual Hourly Integrated Peak Heating Loads 215_kW,2.47901
Annual Hourly Integrated Peak Heating Loads 215_Month*,NOV
Annual Hourly Integrated Peak Heating Loads 215_Day,26
Annual Hourly Integrated Peak Heating Loads 215_Hour,8
Annual Hourly Integrated Peak Heating Loads 220_kW,2.69175
Annual Hourly Integrated Peak Heating Loads 220_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 220_Day,31
Annual Hourly Integrated Peak Heating Loads 220_Hour,24
Annual Hourly Integrated Peak Heating Loads 230_kW,4.31582
Annual Hourly Integrated Peak Heating Loads 230_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 230_Day,31
Annual Hourly Integrated Peak Heating Loads 230_Hour,24
Annual Hourly Integrated Peak Heating Loads 240_kW,2.50684
Annual Hourly Integrated Peak Heating Loads 240_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 240_Day,31
Annual Hourly Integrated Peak Heating Loads 240_Hour,24
Annual Hourly Integrated Peak Heating Loads 250_kW,2.68709
Annual Hourly Integrated Peak Heating Loads 250_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 250_Day,31
Annual Hourly Integrated Peak Heating Loads 250_Hour,24
Annual Hourly Integrated Peak Heating Loads 270_kW,2.5964
Annual Hourly Integrated Peak Heating Loads 270_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 270_Day,31
Annual Hourly Integrated Peak Heating Loads 270_Hour,24
Annual Hourly Integrated Peak Heating Loads 280_kW,2.60178
Annual Hourly Integrated Peak Heating Loads 280_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 280_Day,31
Annual Hourly Integrated Peak Heating Loads 280_Hour,24
Annual Hourly Integrated Peak Heating Loads 290_kW,2.5832
Annual Hourly Integrated Peak Heating Loads 290_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 290_Day,31
Annual Hourly Integrated Peak Heating Loads 290_Hour,24
Annual Hourly Integrated Peak Heating Loads 300_kW,2.60333
Annual Hourly Integrated Peak Heating Loads 300_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 300_Day,31
Annual Hourly Integrated Peak Heating Loads 300_Hour,24
Annual Hourly Integrated Peak Heating Loads 310_kW,2.58027
Annual Hourly Integrated Peak Heating Loads 310_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 310_Day,31
Annual Hourly Integrated Peak Heating Loads 310_Hour,24
Annual Hourly Integrated Peak Heating Loads 320_kW,2.57319
Annual Hourly Integrated Peak Heating Loads 320_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 320_Day,31
Annual Hourly Integrated Peak Heating Loads 320_Hour,24
Annual Hourly Integrated Peak Heating Loads 395_kW,1.95168
Annual Hourly Integrated Peak Heating Loads 395_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 395_Day,31
Annual Hourly Integrated Peak Heating Loads 395_Hour,24
Annual Hourly Integrated Peak Heating Loads 400_kW,2.69175
Annual Hourly Integrated Peak Heating Loads 400_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 400_Day,31
Annual Hourly Integrated Peak Heating Loads 400_Hour,24
Annual Hourly Integrated Peak Heating Loads 410_kW,3.50379
Annual Hourly Integrated Peak Heating Loads 410_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 410_Day,31
Annual Hourly Integrated Peak Heating Loads 410_Hour,24
Annual Hourly Integrated Peak Heating Loads 420_kW,3.31887
Annual Hourly Integrated Peak Heating Loads 420_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 420_Day,31
Annual Hourly Integrated Peak Heating Loads 420_Hour,24
Annual Hourly Integrated Peak Heating Loads 430_kW,3.31597
Annual Hourly Integrated Peak Heating Loads 430_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 430_Day,31
Annual Hourly Integrated Peak Heating Loads 430_Hour,24
Annual Hourly Integrated Peak Heating Loads 440_kW,3.21834
Annual Hourly Integrated Peak Heating Loads 440_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 440_Day,31
Annual Hourly Integrated Peak Heating Loads 440_Hour,24
Annual Hourly Integrated Peak Heating Loads 450_kW,3.10004
Annual Hourly Integrated Peak Heating Loads 450_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 450_Day,31
Annual Hourly Integrated Peak Heating Loads 450_Hour,24
Annual Hourly Integrated Peak Heating Loads 460_kW,3.09093
Annual Hourly Integrated Peak Heating Loads 460_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 460_Day,31
Annual Hourly Integrated Peak Heating Loads 460_Hour,24
Annual Hourly Integrated Peak Heating Loads 470_kW,3.20691
Annual Hourly Integrated Peak Heating Loads 470_Month*,DEC
Annual Hourly Integrated Peak Heating Loads 470_Day,31
Annual Hourly Integrated Peak Heating Loads 470_Hour,24
Annual Hourly Integrated Peak Heating Loads 800_kW,2.92358
Annual Hourly Integrated Peak Heating Loads 800_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 800_Day,9
Annual Hourly Integrated Peak Heating Loads 800_Hour,6
Annual Hourly Integrated Peak Heating Loads 810_kW,2.74902
Annual Hourly Integrated Peak Heating Loads 810_Month*,FEB
Annual Hourly Integrated Peak Heating Loads 810_Day,9
Annual Hourly Integrated Peak Heating Loads 810_Hour,6
Annual Hourly Integrated Peak Cooling Loads 600_kW,6.35213
Annual Hourly Integrated Peak Cooling Loads 600_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 600_Day,22
Annual Hourly Integrated Peak Cooling Loads 600_Hour,14
Annual Hourly Integrated Peak Cooling Loads 610_kW,6.13616
Annual Hourly Integrated Peak Cooling Loads 610_Month*,DEC
Annual Hourly Integrated Peak Cooling Loads 610_Day,1
Annual Hourly Integrated Peak Cooling Loads 610_Hour,14
Annual Hourly Integrated Peak Cooling Loads 620_kW,4.79723
Annual Hourly Integrated Peak Cooling Loads 620_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 620_Day,26
Annual Hourly Integrated Peak Cooling Loads 620_Hour,17
Annual Hourly Integrated Peak Cooling Loads 630_kW,4.21204
Annual Hourly Integrated Peak Cooling Loads 630_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 630_Day,26
Annual Hourly Integrated Peak Cooling Loads 630_Hour,17
Annual Hourly Integrated Peak Cooling Loads 640_kW,6.29797
Annual Hourly Integrated Peak Cooling Loads 640_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 640_Day,22
Annual Hourly Integrated Peak Cooling Loads 640_Hour,14
Annual Hourly Integrated Peak Cooling Loads 650_kW,6.13839
Annual Hourly Integrated Peak Cooling Loads 650_Month*,OCT
Annual Hourly Integrated Peak Cooling Loads 650_Day,18
Annual Hourly Integrated Peak Cooling Loads 650_Hour,14
Annual Hourly Integrated Peak Cooling Loads 660_kW,3.77057
Annual Hourly Integrated Peak Cooling Loads 660_Month*,OCT
Annual Hourly Integrated Peak Cooling Loads 660_Day,18
Annual Hourly Integrated Peak Cooling Loads 660_Hour,14
Annual Hourly Integrated Peak Cooling Loads 670_kW,6.8067
Annual Hourly Integrated Peak Cooling Loads 670_Month*,DEC
Annual Hourly Integrated Peak Cooling Loads 670_Day,1
Annual Hourly Integrated Peak Cooling Loads 670_Hour,13
Annual Hourly Integrated Peak Cooling Loads 680_kW,6.77077
Annual Hourly Integrated Peak Cooling Loads 680_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 680_Day,22
Annual Hourly Integrated Peak Cooling Loads 680_Hour,14
Annual Hourly Integrated Peak Cooling Loads 685_kW,7.10728
Annual Hourly Integrated Peak Cooling Loads 685_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 685_Day,22
Annual Hourly Integrated Peak Cooling Loads 685_Hour,14
Annual Hourly Integrated Peak Cooling Loads 695_kW,7.33486
Annual Hourly Integrated Peak Cooling Loads 695_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 695_Day,22
Annual Hourly Integrated Peak Cooling Loads 695_Hour,14
Annual Hourly Integrated Peak Cooling Loads 900_kW,3.0414
Annual Hourly Integrated Peak Cooling Loads 900_Month*,OCT
Annual Hourly Integrated Peak Cooling Loads 900_Day,1
Annual Hourly Integrated Peak Cooling Loads 900_Hour,14
Annual Hourly Integrated Peak Cooling Loads 910_kW,2.22324
Annual Hourly Integrated Peak Cooling Loads 910_Month*,OCT
Annual Hourly Integrated Peak Cooling Loads 910_Day,18
Annual Hourly Integrated Peak Cooling Loads 910_Hour,15
Annual Hourly Integrated Peak Cooling Loads 920_kW,3.26046
Annual Hourly Integrated Peak Cooling Loads 920_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 920_Day,26
Annual Hourly Integrated Peak Cooling Loads 920_Hour,18
Annual Hourly Integrated Peak Cooling Loads 930_kW,2.78166
Annual Hourly Integrated Peak Cooling Loads 930_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 930_Day,26
Annual Hourly Integrated Peak Cooling Loads 930_Hour,18
Annual Hourly Integrated Peak Cooling Loads 940_kW,3.04092
Annual Hourly Integrated Peak Cooling Loads 940_Month*,OCT
Annual Hourly Integrated Peak Cooling Loads 940_Day,1
Annual Hourly Integrated Peak Cooling Loads 940_Hour,14
Annual Hourly Integrated Peak Cooling Loads 950_kW,2.36846
Annual Hourly Integrated Peak Cooling Loads 950_Month*,SEP
Annual Hourly Integrated Peak Cooling Loads 950_Day,11
Annual Hourly Integrated Peak Cooling Loads 950_Hour,15
Annual Hourly Integrated Peak Cooling Loads 960_kW,1.48003
Annual Hourly Integrated Peak Cooling Loads 960_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 960_Day,26
Annual Hourly Integrated Peak Cooling Loads 960_Hour,17
Annual Hourly Integrated Peak Cooling Loads 980_kW,3.45443
Annual Hourly Integrated Peak Cooling Loads 980_Month*,OCT
Annual Hourly Integrated Peak Cooling Loads 980_Day,18
Annual Hourly Integrated Peak Cooling Loads 980_Hour,15
Annual Hourly Integrated Peak Cooling Loads 985_kW,3.91566
Annual Hourly Integrated Peak Cooling Loads 985_Month*,OCT
Annual Hourly Integrated Peak Cooling Loads 985_Day,18
Annual Hourly Integrated Peak Cooling Loads 985_Hour,15
Annual Hourly Integrated Peak Cooling Loads 995_kW,4.18074
Annual Hourly Integrated Peak Cooling Loads 995_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 995_Day,22
Annual Hourly Integrated Peak Cooling Loads 995_Hour,15
Annual Hourly Integrated Peak Cooling Loads 195_kW,1.0414
Annual Hourly Integrated Peak Cooling Loads 195_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 195_Day,26
Annual Hourly Integrated Peak Cooling Loads 195_Hour,17
Annual Hourly Integrated Peak Cooling Loads 200_kW,1.30765
Annual Hourly Integrated Peak Cooling Loads 200_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 200_Day,26
Annual Hourly Integrated Peak Cooling Loads 200_Hour,17
Annual Hourly Integrated Peak Cooling Loads 210_kW,1.08407
Annual Hourly Integrated Peak Cooling Loads 210_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 210_Day,26
Annual Hourly Integrated Peak Cooling Loads 210_Hour,17
Annual Hourly Integrated Peak Cooling Loads 215_kW,1.40048
Annual Hourly Integrated Peak Cooling Loads 215_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 215_Day,26
Annual Hourly Integrated Peak Cooling Loads 215_Hour,17
Annual Hourly Integrated Peak Cooling Loads 220_kW,1.18257
Annual Hourly Integrated Peak Cooling Loads 220_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 220_Day,26
Annual Hourly Integrated Peak Cooling Loads 220_Hour,18
Annual Hourly Integrated Peak Cooling Loads 230_kW,1.84055
Annual Hourly Integrated Peak Cooling Loads 230_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 230_Day,26
Annual Hourly Integrated Peak Cooling Loads 230_Hour,17
Annual Hourly Integrated Peak Cooling Loads 240_kW,1.36402
Annual Hourly Integrated Peak Cooling Loads 240_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 240_Day,26
Annual Hourly Integrated Peak Cooling Loads 240_Hour,18
Annual Hourly Integrated Peak Cooling Loads 250_kW,2.8663
Annual Hourly Integrated Peak Cooling Loads 250_Month*,AUG
Annual Hourly Integrated Peak Cooling Loads 250_Day,19
Annual Hourly Integrated Peak Cooling Loads 250_Hour,12
Annual Hourly Integrated Peak Cooling Loads 270_kW,6.83884
Annual Hourly Integrated Peak Cooling Loads 270_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 270_Day,22
Annual Hourly Integrated Peak Cooling Loads 270_Hour,14
Annual Hourly Integrated Peak Cooling Loads 280_kW,4.72718
Annual Hourly Integrated Peak Cooling Loads 280_Month*,DEC
Annual Hourly Integrated Peak Cooling Loads 280_Day,1
Annual Hourly Integrated Peak Cooling Loads 280_Hour,13
Annual Hourly Integrated Peak Cooling Loads 290_kW,6.59457
Annual Hourly Integrated Peak Cooling Loads 290_Month*,DEC
Annual Hourly Integrated Peak Cooling Loads 290_Day,22
Annual Hourly Integrated Peak Cooling Loads 290_Hour,13
Annual Hourly Integrated Peak Cooling Loads 300_kW,4.47478
Annual Hourly Integrated Peak Cooling Loads 300_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 300_Day,26
Annual Hourly Integrated Peak Cooling Loads 300_Hour,17
Annual Hourly Integrated Peak Cooling Loads 310_kW,3.96907
Annual Hourly Integrated Peak Cooling Loads 310_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 310_Day,26
Annual Hourly Integrated Peak Cooling Loads 310_Hour,18
Annual Hourly Integrated Peak Cooling Loads 320_kW,6.20914
Annual Hourly Integrated Peak Cooling Loads 320_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 320_Day,22
Annual Hourly Integrated Peak Cooling Loads 320_Hour,14
Annual Hourly Integrated Peak Cooling Loads 395_kW,0.376597
Annual Hourly Integrated Peak Cooling Loads 395_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 395_Day,26
Annual Hourly Integrated Peak Cooling Loads 395_Hour,19
Annual Hourly Integrated Peak Cooling Loads 400_kW,0.605717
Annual Hourly Integrated Peak Cooling Loads 400_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 400_Day,26
Annual Hourly Integrated Peak Cooling Loads 400_Hour,18
Annual Hourly Integrated Peak Cooling Loads 410_kW,0.826633
Annual Hourly Integrated Peak Cooling Loads 410_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 410_Day,26
Annual Hourly Integrated Peak Cooling Loads 410_Hour,18
Annual Hourly Integrated Peak Cooling Loads 420_kW,1.03127
Annual Hourly Integrated Peak Cooling Loads 420_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 420_Day,26
Annual Hourly Integrated Peak Cooling Loads 420_Hour,18
Annual Hourly Integrated Peak Cooling Loads 430_kW,1.92913
Annual Hourly Integrated Peak Cooling Loads 430_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 430_Day,26
Annual Hourly Integrated Peak Cooling Loads 430_Hour,16
Annual Hourly Integrated Peak Cooling Loads 440_kW,4.68625
Annual Hourly Integrated Peak Cooling Loads 440_Month*,OCT
Annual Hourly Integrated Peak Cooling Loads 440_Day,18
Annual Hourly Integrated Peak Cooling Loads 440_Hour,14
Annual Hourly Integrated Peak Cooling Loads 450_kW,6.46611
Annual Hourly Integrated Peak Cooling Loads 450_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 450_Day,22
Annual Hourly Integrated Peak Cooling Loads 450_Hour,14
Annual Hourly Integrated Peak Cooling Loads 460_kW,6.37509
Annual Hourly Integrated Peak Cooling Loads 460_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 460_Day,22
Annual Hourly Integrated Peak Cooling Loads 460_Hour,14
Annual Hourly Integrated Peak Cooling Loads 470_kW,6.44346
Annual Hourly Integrated Peak Cooling Loads 470_Month*,JAN
Annual Hourly Integrated Peak Cooling Loads 470_Day,22
Annual Hourly Integrated Peak Cooling Loads 470_Hour,14
Annual Hourly Integrated Peak Cooling Loads 800_kW,1.04617
Annual Hourly Integrated Peak Cooling Loads 800_Month*,JUN
Annual Hourly Integrated Peak Cooling Loads 800_Day,26
Annual Hourly Integrated Peak Cooling Loads 800_Hour,16
Annual Hourly Integrated Peak Cooling Loads 810_kW,2.27058
Annual Hourly Integrated Peak Cooling Loads 810_Month*,SEP
Annual Hourly Integrated Peak Cooling Loads 810_Day,11
Annual Hourly Integrated Peak Cooling Loads 810_Hour,15
FF Average Hourly Zone Temperature 600FF,24.9287
FF Average Hourly Zone Temperature 900FF,25.132
FF Average Hourly Zone Temperature 650FF,18.4254
FF Average Hourly Zone Temperature 950FF,14.7922
FF Average Hourly Zone Temperature 680FF,30.9707
FF Average Hourly Zone Temperature 980FF,31.2205
FF Average Hourly Zone Temperature 960,27.4716
FF Min Hourly Zone Temperature 600FF_°C,-12.5596
FF Min Hourly Zone Temperature 600FF_DATE,10-FEB
FF Min Hourly Zone Temperature 600FF_Hour,6
FF Min Hourly Zone Temperature 900FF_°C,1.24587
FF Min Hourly Zone Temperature 900FF_DATE,10-FEB
FF Min Hourly Zone Temperature 900FF_Hour,6
FF Min Hourly Zone Temperature 650FF_°C,-17.0749
FF Min Hourly Zone Temperature 650FF_DATE,32-DEC
FF Min Hourly Zone Temperature 650FF_Hour,23
FF Min Hourly Zone Temperature 950FF_°C,-12.812
FF Min Hourly Zone Temperature 950FF_DATE,10-FEB
FF Min Hourly Zone Temperature 950FF_Hour,5
FF Min Hourly Zone Temperature 680FF_°C,-7.05128
FF Min Hourly Zone Temperature 680FF_DATE,10-FEB
FF Min Hourly Zone Temperature 680FF_Hour,6
FF Min Hourly Zone Temperature 980FF_°C,9.98307
FF Min Hourly Zone Temperature 980FF_DATE,05-NOV
FF Min Hourly Zone Temperature 980FF_Hour,6
FF Min Hourly Zone Temperature 960_°C,4.98947
FF Min Hourly Zone Temperature 960_DATE,10-FEB
FF Min Hourly Zone Temperature 960_Hour,6
FF Max Hourly Zone Temperature 600FF_°C,63.8611
FF Max Hourly Zone Temperature 600FF_DATE,19-OCT
FF Max Hourly Zone Temperature 600FF_Hour,15
FF Max Hourly Zone Temperature 900FF_°C,44.2975
FF Max Hourly Zone Temperature 900FF_DATE,13-SEP
FF Max Hourly Zone Temperature 900FF_Hour,14
FF Max Hourly Zone Temperature 650FF_°C,62.4886
FF Max Hourly Zone Temperature 650FF_DATE,19-OCT
FF Max Hourly Zone Temperature 650FF_Hour,15
FF Max Hourly Zone Temperature 950FF_°C,36.6825
FF Max Hourly Zone Temperature 950FF_DATE,12-SEP
FF Max Hourly Zone Temperature 950FF_Hour,15
FF Max Hourly Zone Temperature 680FF_°C,70.1476
FF Max Hourly Zone Temperature 680FF_DATE,23-JAN
